Stock,Vial,Treatment,Set,TSE,Build,Total,MitoNuc,Mito,Nuc
37A,1,Control,4,11.4818181818182,A,55,Bei05_375,Bei05,375
37A,3,Control,4,11.1065573770492,A,61,Bei05_375,Bei05,375
37A,5,Control,4,11.6095890410959,A,73,Bei05_375,Bei05,375
37B,1,Control,4,10.6016949152542,B,59,Bei05_375,Bei05,375
37B,3,Control,4,10.7291666666667,B,48,Bei05_375,Bei05,375
37B,5,Control,4,11.3181818181818,B,33,Bei05_375,Bei05,375
41A,1,Control,4,10.7769230769231,A,65,siI_Ore,siI,Ore
41A,3,Control,4,11.6063829787234,A,47,siI_Ore,siI,Ore
41A,5,Control,4,10.6086956521739,A,92,siI_Ore,siI,Ore
42A,1,Control,4,11.7894736842105,A,38,yak_Ore,yak,Ore
42A,3,Control,4,12,A,46,yak_Ore,yak,Ore
42A,5,Control,4,10.9473684210526,A,76,yak_Ore,yak,Ore
45A,1,Control,4,11.219298245614,A,57,siI_375,siI,375
45A,3,Control,4,11.3076923076923,A,52,siI_375,siI,375
45A,5,Control,4,11.0272727272727,A,55,siI_375,siI,375
46A,1,Control,4,11.1266666666667,A,75,yak_375,yak,375
46A,3,Control,4,11.3219178082192,A,73,yak_375,yak,375
46A,5,Control,4,11.458904109589,A,73,yak_375,yak,375
Ore,1,Control,4,10.343137254902,parental,51,Ore_Ore,Ore,Ore
Ore,3,Control,4,9.88461538461539,parental,13,Ore_Ore,Ore,Ore
Ore,5,Control,4,10.0714285714286,parental,42,Ore_Ore,Ore,Ore
375,1,Control,4,10.66,parental,50,375_375,375,375
375,3,Control,4,10.8333333333333,parental,3,375_375,375,375
375,5,Control,4,11.0740740740741,parental,54,375_375,375,375
5B,1,Control,4,10.9375,B,32,ZW09_Ore,ZW09,Ore
5B,3,Control,4,10,B,2,ZW09_Ore,ZW09,Ore
5B,5,Control,4,10.4285714285714,B,14,ZW09_Ore,ZW09,Ore
13A,1,Control,4,11.3363636363636,A,55,ZW133_375,ZW133,375
13A,3,Control,4,11.3571428571429,A,56,ZW133_375,ZW133,375
13A,5,Control,4,11.55,A,40,ZW133_375,ZW133,375
6A,1,Rotenone,4,11.44,A,100,ZH42_Ore,ZH42,Ore
6A,3,Rotenone,4,10.9818181818182,A,110,ZH42_Ore,ZH42,Ore
6A,5,Rotenone,4,11.2532467532468,A,77,ZH42_Ore,ZH42,Ore
6B,1,Rotenone,4,10.4545454545455,B,44,ZH42_Ore,ZH42,Ore
6B,3,Rotenone,4,11.1756756756757,B,74,ZH42_Ore,ZH42,Ore
6B,5,Rotenone,4,10.6526717557252,B,131,ZH42_Ore,ZH42,Ore
15A,1,Rotenone,4,11.1086956521739,A,69,ZH42_375,ZH42,375
15A,3,Rotenone,4,11.4782608695652,A,46,ZH42_375,ZH42,375
15A,5,Rotenone,4,11.8448275862069,A,29,ZH42_375,ZH42,375
15B,1,Rotenone,4,10.8055555555556,B,72,ZH42_375,ZH42,375
15B,3,Rotenone,4,10.9871794871795,B,78,ZH42_375,ZH42,375
15B,5,Rotenone,4,11.5793650793651,B,63,ZH42_375,ZH42,375
27A,1,Rotenone,4,10.35,A,100,Bei05_Ore,Bei05,Ore
27A,3,Rotenone,4,11.2222222222222,A,36,Bei05_Ore,Bei05,Ore
27A,5,Rotenone,4,10.3928571428571,A,56,Bei05_Ore,Bei05,Ore
27B,1,Rotenone,4,10.6509433962264,B,53,Bei05_Ore,Bei05,Ore
27B,3,Rotenone,4,10.6710526315789,B,76,Bei05_Ore,Bei05,Ore
27B,5,Rotenone,4,10.4166666666667,B,84,Bei05_Ore,Bei05,Ore
37A,1,Rotenone,4,10.8962264150943,A,53,Bei05_375,Bei05,375
37A,3,Rotenone,4,11.6184210526316,A,76,Bei05_375,Bei05,375
37A,5,Rotenone,4,10.9594594594595,A,74,Bei05_375,Bei05,375
37B,1,Rotenone,4,10.6311475409836,B,61,Bei05_375,Bei05,375
37B,3,Rotenone,4,11.1274509803922,B,51,Bei05_375,Bei05,375
37B,5,Rotenone,4,10.8166666666667,B,60,Bei05_375,Bei05,375
41A,1,Rotenone,4,10.4759036144578,A,83,siI_Ore,siI,Ore
41A,3,Rotenone,4,10.6290322580645,A,93,siI_Ore,siI,Ore
41A,5,Rotenone,4,10.78125,A,64,siI_Ore,siI,Ore
42A,1,Rotenone,4,10.9747474747475,A,99,yak_Ore,yak,Ore
42A,3,Rotenone,4,11.1521739130435,A,46,yak_Ore,yak,Ore
42A,5,Rotenone,4,11.3055555555556,A,36,yak_Ore,yak,Ore
45A,1,Rotenone,4,11.2014925373134,A,67,siI_375,siI,375
45A,3,Rotenone,4,11.2313432835821,A,67,siI_375,siI,375
45A,5,Rotenone,4,11.1805555555556,A,72,siI_375,siI,375
46A,1,Rotenone,4,11.5540540540541,A,74,yak_375,yak,375
46A,3,Rotenone,4,11.5416666666667,A,72,yak_375,yak,375
46A,5,Rotenone,4,11.2567567567568,A,74,yak_375,yak,375
Ore,1,Rotenone,4,9.75,parental,24,Ore_Ore,Ore,Ore
Ore,3,Rotenone,4,10.1296296296296,parental,27,Ore_Ore,Ore,Ore
Ore,5,Rotenone,4,10.425,parental,40,Ore_Ore,Ore,Ore
375,1,Rotenone,4,12.1071428571429,parental,56,375_375,375,375
375,3,Rotenone,4,12.0217391304348,parental,46,375_375,375,375
375,5,Rotenone,4,11.2586206896552,parental,29,375_375,375,375
5B,1,Rotenone,4,10.4230769230769,B,13,ZW09_Ore,ZW09,Ore
5B,3,Rotenone,4,10.8529411764706,B,17,ZW09_Ore,ZW09,Ore
5B,5,Rotenone,4,10.75,B,4,ZW09_Ore,ZW09,Ore
13A,1,Rotenone,4,11.0769230769231,A,52,ZW133_375,ZW133,375
13A,3,Rotenone,4,11.2462686567164,A,67,ZW133_375,ZW133,375
13A,5,Rotenone,4,11.3153846153846,A,65,ZW133_375,ZW133,375
8A,1,Control,5,10.5,A,2,ZH26_Ore,ZH26,Ore
8A,3,Control,5,NA,A,0,ZH26_Ore,ZH26,Ore
8A,5,Control,5,NA,A,0,ZH26_Ore,ZH26,Ore
8B,1,Control,5,10.6868131868132,B,91,ZH26_Ore,ZH26,Ore
8B,3,Control,5,10.7222222222222,B,54,ZH26_Ore,ZH26,Ore
8B,5,Control,5,11.0106382978723,B,94,ZH26_Ore,ZH26,Ore
17A,1,Control,5,10.469696969697,A,66,ZH26_375,ZH26,375
17A,3,Control,5,10.3235294117647,A,17,ZH26_375,ZH26,375
17A,5,Control,5,10.8548387096774,A,62,ZH26_375,ZH26,375
17B,1,Control,5,10.25,B,24,ZH26_375,ZH26,375
17B,3,Control,5,10.5185185185185,B,54,ZH26_375,ZH26,375
17B,5,Control,5,10.530303030303,B,33,ZH26_375,ZH26,375
28A,1,Control,5,9.53448275862069,A,29,Bei04_Ore,Bei04,Ore
28A,3,Control,5,10.0714285714286,A,56,Bei04_Ore,Bei04,Ore
28A,5,Control,5,9.22727272727273,A,22,Bei04_Ore,Bei04,Ore
28B,1,Control,5,10.0810810810811,B,74,Bei04_Ore,Bei04,Ore
28B,3,Control,5,10.21875,B,96,Bei04_Ore,Bei04,Ore
28B,5,Control,5,10.4058823529412,B,85,Bei04_Ore,Bei04,Ore
38A,1,Control,5,11.2042253521127,A,71,Bei04_375,Bei04,375
38A,3,Control,5,11.0696202531646,A,79,Bei04_375,Bei04,375
38A,5,Control,5,11.2272727272727,A,77,Bei04_375,Bei04,375
38B,1,Control,5,11.2179487179487,B,117,Bei04_375,Bei04,375
38B,3,Control,5,10.828125,B,128,Bei04_375,Bei04,375
38B,5,Control,5,11.1931818181818,B,88,Bei04_375,Bei04,375
41A,1,Control,5,9.30851063829787,A,47,siI_Ore,siI,Ore
41A,3,Control,5,9.8125,A,48,siI_Ore,siI,Ore
41A,5,Control,5,9.975,A,80,siI_Ore,siI,Ore
42A,1,Control,5,8.7,A,5,yak_Ore,yak,Ore
42A,3,Control,5,9,A,8,yak_Ore,yak,Ore
42A,5,Control,5,9.14705882352941,A,17,yak_Ore,yak,Ore
45A,1,Control,5,10.9591836734694,A,98,siI_375,siI,375
45A,3,Control,5,10.6276595744681,A,94,siI_375,siI,375
45A,5,Control,5,10.825,A,80,siI_375,siI,375
46A,1,Control,5,11.0888888888889,A,90,yak_375,yak,375
46A,3,Control,5,10.7857142857143,A,84,yak_375,yak,375
46A,5,Control,5,10.7395833333333,A,96,yak_375,yak,375
Ore,1,Control,5,10.7921348314607,parental,89,Ore_Ore,Ore,Ore
Ore,3,Control,5,11.3454545454545,parental,110,Ore_Ore,Ore,Ore
Ore,5,Control,5,10.3558558558559,parental,111,Ore_Ore,Ore,Ore
375,1,Control,5,10.877358490566,parental,53,375_375,375,375
375,3,Control,5,11.1071428571429,parental,56,375_375,375,375
375,5,Control,5,10.9470588235294,parental,85,375_375,375,375
5B,1,Control,5,11.4850746268657,B,67,ZW09_Ore,ZW09,Ore
5B,3,Control,5,10.7666666666667,B,60,ZW09_Ore,ZW09,Ore
5B,5,Control,5,10.8529411764706,B,34,ZW09_Ore,ZW09,Ore
8A,1,Rotenone,5,NA,A,0,ZH26_Ore,ZH26,Ore
8A,3,Rotenone,5,9.25,A,12,ZH26_Ore,ZH26,Ore
8A,5,Rotenone,5,10.4473684210526,A,19,ZH26_Ore,ZH26,Ore
8B,1,Rotenone,5,10.8653846153846,B,52,ZH26_Ore,ZH26,Ore
8B,3,Rotenone,5,10.6296296296296,B,54,ZH26_Ore,ZH26,Ore
8B,5,Rotenone,5,11.1060606060606,B,66,ZH26_Ore,ZH26,Ore
17A,1,Rotenone,5,10.9444444444444,A,72,ZH26_375,ZH26,375
17A,3,Rotenone,5,11.1166666666667,A,60,ZH26_375,ZH26,375
17A,5,Rotenone,5,10.9423076923077,A,52,ZH26_375,ZH26,375
17B,1,Rotenone,5,11.2234042553191,B,47,ZH26_375,ZH26,375
17B,3,Rotenone,5,10.0652173913043,B,23,ZH26_375,ZH26,375
17B,5,Rotenone,5,10.9901960784314,B,51,ZH26_375,ZH26,375
28A,1,Rotenone,5,9.1,A,15,Bei04_Ore,Bei04,Ore
28A,3,Rotenone,5,10.6857142857143,A,70,Bei04_Ore,Bei04,Ore
28A,5,Rotenone,5,11.1304347826087,A,46,Bei04_Ore,Bei04,Ore
28B,1,Rotenone,5,10.5655737704918,B,61,Bei04_Ore,Bei04,Ore
28B,3,Rotenone,5,10.7692307692308,B,78,Bei04_Ore,Bei04,Ore
28B,5,Rotenone,5,10.7608695652174,B,92,Bei04_Ore,Bei04,Ore
38A,1,Rotenone,5,11.3253968253968,A,63,Bei04_375,Bei04,375
38A,3,Rotenone,5,10.9385964912281,A,57,Bei04_375,Bei04,375
38A,5,Rotenone,5,11.4591836734694,A,49,Bei04_375,Bei04,375
38B,1,Rotenone,5,10.9615384615385,B,65,Bei04_375,Bei04,375
38B,3,Rotenone,5,11.3333333333333,B,84,Bei04_375,Bei04,375
38B,5,Rotenone,5,11.15,B,80,Bei04_375,Bei04,375
41A,1,Rotenone,5,9.7,A,55,siI_Ore,siI,Ore
41A,3,Rotenone,5,10.8132530120482,A,83,siI_Ore,siI,Ore
41A,5,Rotenone,5,10.7058823529412,A,102,siI_Ore,siI,Ore
42A,1,Rotenone,5,9.82432432432432,A,37,yak_Ore,yak,Ore
42A,3,Rotenone,5,9.625,A,16,yak_Ore,yak,Ore
42A,5,Rotenone,5,NA,A,0,yak_Ore,yak,Ore
45A,1,Rotenone,5,11.2125,A,80,siI_375,siI,375
45A,3,Rotenone,5,11.268115942029,A,69,siI_375,siI,375
45A,5,Rotenone,5,10.8636363636364,A,66,siI_375,siI,375
46A,1,Rotenone,5,11.8695652173913,A,46,yak_375,yak,375
46A,3,Rotenone,5,11.921875,A,64,yak_375,yak,375
46A,5,Rotenone,5,12.24,A,50,yak_375,yak,375
Ore,1,Rotenone,5,10.7153846153846,parental,65,Ore_Ore,Ore,Ore
Ore,3,Rotenone,5,10.4350649350649,parental,77,Ore_Ore,Ore,Ore
Ore,5,Rotenone,5,10.3421052631579,parental,76,Ore_Ore,Ore,Ore
375,1,Rotenone,5,10.9,parental,60,375_375,375,375
375,3,Rotenone,5,11.1666666666667,parental,60,375_375,375,375
375,5,Rotenone,5,11.359649122807,parental,57,375_375,375,375
5B,1,Rotenone,5,11.8478260869565,B,23,ZW09_Ore,ZW09,Ore
5B,3,Rotenone,5,10.7758620689655,B,29,ZW09_Ore,ZW09,Ore
5B,5,Rotenone,5,11.1060606060606,B,33,ZW09_Ore,ZW09,Ore
9A,1,Control,6,11.0227272727273,A,132,ZH23_Ore,ZH23,Ore
9A,3,Control,6,11.0384615384615,A,104,ZH23_Ore,ZH23,Ore
9A,5,Control,6,11.1489361702128,A,94,ZH23_Ore,ZH23,Ore
9B,1,Control,6,11.3478260869565,B,92,ZH23_Ore,ZH23,Ore
9B,3,Control,6,11.2634408602151,B,93,ZH23_Ore,ZH23,Ore
9B,5,Control,6,11.6851851851852,B,81,ZH23_Ore,ZH23,Ore
18A,1,Control,6,10.7,A,55,ZH23_375,ZH23,375
18A,3,Control,6,11.3636363636364,A,66,ZH23_375,ZH23,375
18A,5,Control,6,11.3392857142857,A,56,ZH23_375,ZH23,375
18B,1,Control,6,11.1944444444444,B,36,ZH23_375,ZH23,375
18B,3,Control,6,11.6176470588235,B,34,ZH23_375,ZH23,375
18B,5,Control,6,11.4473684210526,B,57,ZH23_375,ZH23,375
23A,1,Control,6,11.2522123893805,A,113,Bei38_Ore,Bei38,Ore
23A,3,Control,6,11.2924528301887,A,106,Bei38_Ore,Bei38,Ore
23A,5,Control,6,11.2179487179487,A,117,Bei38_Ore,Bei38,Ore
23B,1,Control,6,11.8086419753086,B,81,Bei38_Ore,Bei38,Ore
23B,3,Control,6,11.4886363636364,B,88,Bei38_Ore,Bei38,Ore
23B,5,Control,6,11.5985915492958,B,71,Bei38_Ore,Bei38,Ore
33A,1,Control,6,11.1811594202899,A,69,Bei38_375,Bei38,375
33A,3,Control,6,11.3714285714286,A,70,Bei38_375,Bei38,375
33A,5,Control,6,11.3518518518519,A,81,Bei38_375,Bei38,375
33B,1,Control,6,11.8191489361702,B,47,Bei38_375,Bei38,375
33B,3,Control,6,11.5705882352941,B,85,Bei38_375,Bei38,375
33B,5,Control,6,11.5714285714286,B,56,Bei38_375,Bei38,375
41A,1,Control,6,10.820987654321,A,81,siI_Ore,siI,Ore
41A,3,Control,6,10.9622641509434,A,106,siI_Ore,siI,Ore
41A,5,Control,6,11.2663551401869,A,107,siI_Ore,siI,Ore
42A,1,Control,6,11.2105263157895,A,76,yak_Ore,yak,Ore
42A,3,Control,6,11.1,A,55,yak_Ore,yak,Ore
42A,5,Control,6,11.5909090909091,A,66,yak_Ore,yak,Ore
45A,1,Control,6,11.478021978022,A,91,siI_375,siI,375
45A,3,Control,6,10.8846153846154,A,65,siI_375,siI,375
45A,5,Control,6,11.09375,A,64,siI_375,siI,375
46A,1,Control,6,11.364406779661,A,59,yak_375,yak,375
46A,3,Control,6,11.6463414634146,A,41,yak_375,yak,375
46A,5,Control,6,11.6764705882353,A,51,yak_375,yak,375
Ore,1,Control,6,10.8292682926829,parental,82,Ore_Ore,Ore,Ore
Ore,3,Control,6,11.068,parental,125,Ore_Ore,Ore,Ore
Ore,5,Control,6,11.1638655462185,parental,119,Ore_Ore,Ore,Ore
375,1,Control,6,11.5833333333333,parental,96,375_375,375,375
375,3,Control,6,11.7615384615385,parental,65,375_375,375,375
375,5,Control,6,11.59375,parental,64,375_375,375,375
8A,1,Control,6,10.515625,A,64,ZH26_Ore,ZH26,Ore
8A,3,Control,6,10.925,A,80,ZH26_Ore,ZH26,Ore
8A,5,Control,6,10.8684210526316,A,114,ZH26_Ore,ZH26,Ore
28B,1,Control,6,9.96666666666667,B,105,Bei04_Ore,Bei04,Ore
28B,3,Control,6,9.96808510638298,B,94,Bei04_Ore,Bei04,Ore
28B,5,Control,6,10.0873015873016,B,126,Bei04_Ore,Bei04,Ore
9A,1,Rotenone,6,11.5526315789474,A,57,ZH23_Ore,ZH23,Ore
9A,3,Rotenone,6,11.6290322580645,A,62,ZH23_Ore,ZH23,Ore
9A,5,Rotenone,6,11.5,A,75,ZH23_Ore,ZH23,Ore
9B,1,Rotenone,6,11.3833333333333,B,60,ZH23_Ore,ZH23,Ore
9B,3,Rotenone,6,11.8653846153846,B,52,ZH23_Ore,ZH23,Ore
9B,5,Rotenone,6,12.1222222222222,B,45,ZH23_Ore,ZH23,Ore
18A,1,Rotenone,6,11.8243243243243,A,37,ZH23_375,ZH23,375
18A,3,Rotenone,6,12.0161290322581,A,31,ZH23_375,ZH23,375
18A,5,Rotenone,6,11.8181818181818,A,22,ZH23_375,ZH23,375
18B,1,Rotenone,6,11.3888888888889,B,36,ZH23_375,ZH23,375
18B,3,Rotenone,6,12.25,B,32,ZH23_375,ZH23,375
18B,5,Rotenone,6,11.9772727272727,B,44,ZH23_375,ZH23,375
23A,1,Rotenone,6,11.6014492753623,A,69,Bei38_Ore,Bei38,Ore
23A,3,Rotenone,6,11.65625,A,64,Bei38_Ore,Bei38,Ore
23A,5,Rotenone,6,11.4508196721311,A,61,Bei38_Ore,Bei38,Ore
23B,1,Rotenone,6,12.225,B,40,Bei38_Ore,Bei38,Ore
23B,3,Rotenone,6,12.3125,B,32,Bei38_Ore,Bei38,Ore
23B,5,Rotenone,6,12.0238095238095,B,63,Bei38_Ore,Bei38,Ore
33A,1,Rotenone,6,11.1888888888889,A,45,Bei38_375,Bei38,375
33A,3,Rotenone,6,12.2352941176471,A,34,Bei38_375,Bei38,375
33A,5,Rotenone,6,11.5983606557377,A,61,Bei38_375,Bei38,375
33B,1,Rotenone,6,11.0949367088608,B,79,Bei38_375,Bei38,375
33B,3,Rotenone,6,11.8880597014925,B,67,Bei38_375,Bei38,375
33B,5,Rotenone,6,11.5588235294118,B,17,Bei38_375,Bei38,375
41A,1,Rotenone,6,11.8125,A,80,siI_Ore,siI,Ore
41A,3,Rotenone,6,11.7307692307692,A,78,siI_Ore,siI,Ore
41A,5,Rotenone,6,11.6935483870968,A,62,siI_Ore,siI,Ore
42A,1,Rotenone,6,12.0208333333333,A,48,yak_Ore,yak,Ore
42A,3,Rotenone,6,12.2096774193548,A,31,yak_Ore,yak,Ore
42A,5,Rotenone,6,12.3695652173913,A,23,yak_Ore,yak,Ore
45A,1,Rotenone,6,12.1046511627907,A,43,siI_375,siI,375
45A,3,Rotenone,6,12.02,A,50,siI_375,siI,375
45A,5,Rotenone,6,12.0581395348837,A,43,siI_375,siI,375
46A,1,Rotenone,6,11.9736842105263,A,38,yak_375,yak,375
46A,3,Rotenone,6,12.1666666666667,A,36,yak_375,yak,375
46A,5,Rotenone,6,11.9565217391304,A,46,yak_375,yak,375
Ore,1,Rotenone,6,11.3586956521739,parental,92,Ore_Ore,Ore,Ore
Ore,3,Rotenone,6,11.5102040816327,parental,98,Ore_Ore,Ore,Ore
Ore,5,Rotenone,6,11.71875,parental,64,Ore_Ore,Ore,Ore
375,1,Rotenone,6,12.1578947368421,parental,38,375_375,375,375
375,3,Rotenone,6,11.296875,parental,64,375_375,375,375
375,5,Rotenone,6,12.0396825396825,parental,63,375_375,375,375
8A,1,Rotenone,6,11.5375,A,80,ZH26_Ore,ZH26,Ore
8A,3,Rotenone,6,11.3571428571429,A,49,ZH26_Ore,ZH26,Ore
8A,5,Rotenone,6,11.484375,A,64,ZH26_Ore,ZH26,Ore
28B,1,Rotenone,6,11.2727272727273,B,110,Bei04_Ore,Bei04,Ore
28B,3,Rotenone,6,10.7115384615385,B,104,Bei04_Ore,Bei04,Ore
28B,5,Rotenone,6,11.5344827586207,B,87,Bei04_Ore,Bei04,Ore
25A,1,Control,7,10.7467532467532,A,77,Bei12_Ore,Bei12,Ore
25A,2,Control,7,10.4878048780488,A,82,Bei12_Ore,Bei12,Ore
25A,3,Control,7,10.7957746478873,A,71,Bei12_Ore,Bei12,Ore
25B,1,Control,7,10.4433962264151,B,106,Bei12_Ore,Bei12,Ore
25B,2,Control,7,11.0234042553191,B,235,Bei12_Ore,Bei12,Ore
25B,3,Control,7,10.4357798165138,B,109,Bei12_Ore,Bei12,Ore
39A,1,Control,7,11.0113636363636,A,88,zim53_Ore,Zim53,Ore
39A,2,Control,7,11.3,A,80,zim53_Ore,Zim53,Ore
39A,3,Control,7,11.0681818181818,A,88,zim53_Ore,Zim53,Ore
39B,1,Control,7,10.0957446808511,B,47,zim53_Ore,Zim53,Ore
39B,2,Control,7,10.2,B,60,zim53_Ore,Zim53,Ore
39B,3,Control,7,9.72857142857143,B,35,zim53_Ore,Zim53,Ore
35A,1,Control,7,11.06,A,75,Bei12_375,Bei12,375
35A,2,Control,7,10.9761904761905,A,63,Bei12_375,Bei12,375
35A,3,Control,7,10.9736842105263,A,57,Bei12_375,Bei12,375
35B,1,Control,7,10.9,B,85,Bei12_375,Bei12,375
35B,2,Control,7,10.8376623376623,B,77,Bei12_375,Bei12,375
35B,3,Control,7,10.8392857142857,B,56,Bei12_375,Bei12,375
43A,1,Control,7,11.5963855421687,A,83,zim53_375,Zim53,375
43A,2,Control,7,11.4230769230769,A,91,zim53_375,Zim53,375
43A,3,Control,7,11.1547619047619,A,84,zim53_375,Zim53,375
43B,1,Control,7,11.8333333333333,B,51,zim53_375,Zim53,375
43B,2,Control,7,12.0263157894737,B,57,zim53_375,Zim53,375
43B,3,Control,7,11.9126984126984,B,63,zim53_375,Zim53,375
41A,1,Control,7,10.4722222222222,A,108,siI_Ore,siI,Ore
41A,2,Control,7,10.2766990291262,A,103,siI_Ore,siI,Ore
41A,3,Control,7,10.4489795918367,A,98,siI_Ore,siI,Ore
42A,1,Control,7,10.9794520547945,A,73,yak_Ore,yak,Ore
42A,2,Control,7,10.7962962962963,A,81,yak_Ore,yak,Ore
42A,3,Control,7,10.9698795180723,A,83,yak_Ore,yak,Ore
45A,1,Control,7,11.0820895522388,A,67,siI_375,siI,375
45A,2,Control,7,11.5,A,48,siI_375,siI,375
45A,3,Control,7,11.4036144578313,A,83,siI_375,siI,375
46A,1,Control,7,12.2407407407407,A,54,yak_375,yak,375
46A,2,Control,7,12.1610169491525,A,59,yak_375,yak,375
46A,3,Control,7,12.3039215686275,A,51,yak_375,yak,375
Ore,1,Control,7,10.5181818181818,parental,55,Ore_Ore,Ore,Ore
Ore,2,Control,7,10.3780487804878,parental,41,Ore_Ore,Ore,Ore
Ore,3,Control,7,10.5540540540541,parental,37,Ore_Ore,Ore,Ore
375,1,Control,7,11.9545454545455,parental,44,375_375,375,375
375,2,Control,7,11.8898305084746,parental,59,375_375,375,375
375,3,Control,7,12.0769230769231,parental,52,375_375,375,375
25A,1,Rotenone,7,10.6264367816092,A,87,Bei12_Ore,Bei12,Ore
25A,2,Rotenone,7,10.8421052631579,A,76,Bei12_Ore,Bei12,Ore
25A,3,Rotenone,7,10.7597402597403,A,77,Bei12_Ore,Bei12,Ore
25B,1,Rotenone,7,10.7474226804124,B,97,Bei12_Ore,Bei12,Ore
25B,2,Rotenone,7,10.6777777777778,B,90,Bei12_Ore,Bei12,Ore
25B,3,Rotenone,7,10.1986301369863,B,73,Bei12_Ore,Bei12,Ore
39A,1,Rotenone,7,11.4255319148936,A,94,zim53_Ore,Zim53,Ore
39A,2,Rotenone,7,11.2111111111111,A,90,zim53_Ore,Zim53,Ore
39A,3,Rotenone,7,11.0979381443299,A,97,zim53_Ore,Zim53,Ore
39B,1,Rotenone,7,10.2179487179487,B,78,zim53_Ore,Zim53,Ore
39B,2,Rotenone,7,9.95454545454546,B,22,zim53_Ore,Zim53,Ore
39B,3,Rotenone,7,10.1714285714286,B,70,zim53_Ore,Zim53,Ore
35A,1,Rotenone,7,11.3928571428571,A,56,Bei12_375,Bei12,375
35A,2,Rotenone,7,11.5645161290323,A,62,Bei12_375,Bei12,375
35A,3,Rotenone,7,11.3269230769231,A,52,Bei12_375,Bei12,375
35B,1,Rotenone,7,10.9166666666667,B,36,Bei12_375,Bei12,375
35B,2,Rotenone,7,11.2272727272727,B,55,Bei12_375,Bei12,375
35B,3,Rotenone,7,10.8714285714286,B,35,Bei12_375,Bei12,375
43A,1,Rotenone,7,11.4512195121951,A,82,zim53_375,Zim53,375
43A,2,Rotenone,7,11.4014084507042,A,71,zim53_375,Zim53,375
43A,3,Rotenone,7,11.510752688172,A,93,zim53_375,Zim53,375
43B,1,Rotenone,7,11.6707317073171,B,82,zim53_375,Zim53,375
43B,2,Rotenone,7,11.25,B,84,zim53_375,Zim53,375
43B,3,Rotenone,7,11.1086956521739,B,92,zim53_375,Zim53,375
41A,1,Rotenone,7,10.7843137254902,A,102,siI_Ore,siI,Ore
41A,2,Rotenone,7,11.0925925925926,A,108,siI_Ore,siI,Ore
41A,3,Rotenone,7,10.9347826086957,A,92,siI_Ore,siI,Ore
42A,1,Rotenone,7,11.4512195121951,A,41,yak_Ore,yak,Ore
42A,2,Rotenone,7,11,A,36,yak_Ore,yak,Ore
42A,3,Rotenone,7,10.8636363636364,A,33,yak_Ore,yak,Ore
45A,1,Rotenone,7,11.54,A,75,siI_375,siI,375
45A,2,Rotenone,7,11.4444444444444,A,72,siI_375,siI,375
45A,3,Rotenone,7,11.364406779661,A,59,siI_375,siI,375
