Stock,Vial,4/3,4/4,4/5,4/6,4/7,4/8,4/9,Treatment
1A,1,0,0,2,24,38,40,15,Control
1A,2,0,0,0,28,54,29,20,Control
1A,3,0,0,2,15,48,44,33,Control
1B,1,0,0,3,36,51,42,18,Control
1B,2,0,0,3,45,46,28,21,Control
1B,3,0,0,5,32,50,28,17,Control
2A,1,0,0,0,32,47,24,23,Control
2A,2,0,0,0,27,54,34,15,Control
2A,3,0,0,0,29,44,41,29,Control
2B,1,0,0,0,26,66,42,20,Control
2B,2,0,0,0,18,52,34,21,Control
2B,3,0,0,1,11,53,32,22,Control
10A,1,0,0,0,1,31,43,19,Control
10A,2,0,0,1,9,52,22,9,Control
10A,3,0,0,0,1,23,41,26,Control
10B,1,0,0,0,18,14,16,23,Control
10B,2,0,0,0,13,42,33,12,Control
10B,3,0,0,0,17,16,24,31,Control
11A,1,0,0,10,13,25,29,20,Control
11A,2,0,0,10,32,15,21,18,Control
11A,3,0,0,10,17,27,26,13,Control
11B,1,0,0,1,3,54,49,20,Control
11B,2,0,0,0,17,62,40,20,Control
11B,3,0,0,0,16,65,35,8,Control
19A,1,0,0,2,25,23,26,17,Control
19A,2,0,0,4,25,40,39,17,Control
19A,3,0,0,5,19,33,30,30,Control
19B,1,0,0,1,7,39,34,23,Control
19B,2,0,0,3,17,68,31,22,Control
19B,3,0,0,3,16,60,39,19,Control
20A,1,0,0,0,27,55,28,19,Control
20A,2,0,0,5,39,36,30,16,Control
20A,3,0,0,0,20,62,37,22,Control
20B,1,0,0,0,9,47,34,28,Control
20B,2,0,0,0,15,36,28,16,Control
20B,3,0,0,0,8,53,45,20,Control
29A,1,0,1,11,36,11,14,18,Control
29A,2,0,0,7,31,13,18,16,Control
29A,3,0,0,6,24,2,18,11,Control
29B,1,0,0,1,22,31,28,8,Control
29B,2,0,0,0,11,20,27,3,Control
29B,3,0,0,0,7,27,23,8,Control
30A,1,0,0,0,18,20,16,8,Control
30A,2,0,0,1,17,16,42,32,Control
30A,3,0,0,1,13,14,24,5,Control
30B,1,0,0,3,13,25,39,34,Control
30B,2,0,0,7,12,19,27,28,Control
30B,3,0,0,3,7,23,42,31,Control
1A,1,0,0,1,13,32,39,19,Rotenone
1A,2,0,0,0,18,42,43,38,Rotenone
1A,3,0,0,1,7,41,46,41,Rotenone
1B,1,0,0,0,15,44,23,4,Rotenone
1B,2,0,0,0,4,51,37,0,Rotenone
1B,3,0,0,0,4,48,42,1,Rotenone
2A,1,0,0,0,5,38,50,7,Rotenone
2A,2,0,0,1,1,25,27,1,Rotenone
2A,3,0,0,0,8,37,32,2,Rotenone
2B,1,0,0,1,7,45,42,14,Rotenone
2B,2,0,0,0,3,54,38,28,Rotenone
2B,3,0,0,0,6,31,68,19,Rotenone
10A,1,0,0,0,8,49,11,8,Rotenone
10A,2,0,0,0,12,49,13,8,Rotenone
10A,3,0,0,0,5,27,29,6,Rotenone
10B,1,0,0,0,5,18,16,31,Rotenone
10B,2,0,0,0,8,5,24,18,Rotenone
10B,3,0,0,0,8,19,13,15,Rotenone
11A,1,0,0,1,37,17,15,13,Rotenone
11A,2,0,0,1,22,14,17,17,Rotenone
11A,3,0,0,2,42,15,19,16,Rotenone
11B,1,0,0,0,8,31,13,25,Rotenone
11B,2,0,0,1,14,52,16,10,Rotenone
11B,3,0,0,0,2,27,63,36,Rotenone
19A,1,0,0,0,10,13,65,32,Rotenone
19A,2,0,0,0,9,47,26,25,Rotenone
19A,3,0,0,0,16,12,31,26,Rotenone
19B,1,0,0,0,4,35,56,32,Rotenone
19B,2,0,0,0,1,38,53,26,Rotenone
19B,3,0,0,0,3,58,46,24,Rotenone
20A,1,0,0,0,3,20,28,6,Rotenone
20A,2,0,0,0,2,25,23,7,Rotenone
20A,3,0,0,0,7,18,8,0,Rotenone
20B,1,0,0,0,1,50,38,24,Rotenone
20B,2,0,0,0,8,38,46,35,Rotenone
20B,3,0,0,0,2,43,41,33,Rotenone
29A,1,0,0,3,16,18,27,15,Rotenone
29A,2,0,0,1,8,25,18,4,Rotenone
29A,3,0,0,0,4,21,23,14,Rotenone
29B,1,0,0,0,8,15,26,11,Rotenone
29B,2,0,0,0,3,11,22,10,Rotenone
29B,3,0,0,0,2,18,15,4,Rotenone
30A,1,0,0,0,12,25,17,8,Rotenone
30A,2,0,0,1,12,21,35,40,Rotenone
30A,3,0,0,0,13,15,15,21,Rotenone
30B,1,0,0,1,10,14,41,27,Rotenone
30B,2,0,0,0,1,9,20,30,Rotenone
30B,3,0,0,0,6,14,38,36,Rotenone
41A,1,0,0,1,9,20,52,35,Rotenone
41A,2,0,0,0,1,23,45,36,Rotenone
41A,3,0,0,0,18,28,48,28,Rotenone
42A,1,0,0,0,3,28,28,27,Rotenone
42A,2,0,0,0,4,26,44,21,Rotenone
42A,3,0,0,0,4,34,35,11,Rotenone
45A,1,0,0,0,4,11,45,32,Rotenone
45A,2,0,0,0,6,15,33,29,Rotenone
45A,3,0,0,0,0,10,54,37,Rotenone
46A,1,0,0,0,3,9,36,49,Rotenone
46A,2,0,0,0,6,16,22,40,Rotenone
46A,3,0,0,0,1,10,46,54,Rotenone
Ore,1,0,0,2,4,3,0,1,Rotenone
Ore,2,0,0,0,1,1,0,1,Rotenone
Ore,3,0,0,1,3,4,0,0,Rotenone
375,1,0,0,0,8,30,17,6,Rotenone
375,2,0,0,0,8,30,18,7,Rotenone
375,3,0,0,0,3,18,22,11,Rotenone
41A,1,0,0,0,10,39,30,27,Control
41A,2,0,0,1,19,56,47,18,Control
41A,3,0,0,1,18,19,24,12,Control
42A,1,0,0,4,27,20,33,15,Control
42A,2,0,0,2,17,29,32,19,Control
42A,3,0,0,3,13,36,23,16,Control
45A,1,0,0,3,15,18,33,27,Control
45A,2,0,0,1,12,28,54,35,Control
45A,3,0,0,3,9,30,58,28,Control
46A,1,0,0,1,24,33,28,20,Control
46A,2,0,0,0,25,38,21,9,Control
46A,3,0,0,0,10,36,33,8,Control
Ore,1,0,0,2,30,37,30,4,Control
Ore,2,0,0,1,16,23,9,1,Control
Ore,3,0,0,0,21,15,26,1,Control
375,1,0,0,0,2,11,36,14,Control
375,2,0,0,1,5,12,22,2,Control
375,3,0,0,0,20,23,28,22,Control