Stock,Vial,7/17,7/18,7/19,7/20,7/21,7/22,7/23,Treatment
2A,1,0,0,11,25,38,18,26,Control
2A,2,0,1,26,28,30,26,17,Control
2A,3,0,1,29,26,31,12,13,Control
4A,1,0,1,32,18,25,13,12,Control
4A,2,0,0,11,27,32,23,15,Control
4A,3,0,2,28,10,14,11,19,Control
7A,1,0,0,13,34,42,16,15,Control
7A,2,0,0,23,22,40,14,22,Control
7A,3,0,0,24,35,19,23,13,Control
11A,1,0,2,30,20,13,11,17,Control
11A,2,0,1,14,16,16,17,24,Control
11A,3,0,3,8,26,8,7,16,Control
13A,1,0,0,14,8,25,17,12,Control
13A,2,0,3,15,15,21,21,23,Control
13A,3,0,1,12,5,32,21,17,Control
16A,1,0,1,18,6,31,22,14,Control
16A,2,0,1,22,12,25,23,17,Control
16A,3,0,2,17,13,27,16,14,Control
19A,1,0,0,9,12,30,31,18,Control
19A,2,0,0,16,17,33,14,21,Control
19A,3,0,0,20,24,13,24,16,Control
24A,1,0,1,13,23,36,24,10,Control
24A,2,0,0,16,22,22,45,15,Control
24A,3,0,1,10,23,22,19,16,Control
26A,1,0,0,17,36,28,15,7,Control
26A,2,0,0,57,17,7,7,13,Control
26A,3,0,0,10,28,29,17,8,Control
29A,1,0,0,12,7,20,16,19,Control
29A,2,0,1,10,11,19,19,14,Control
29A,3,0,0,12,8,13,18,18,Control
34A,1,0,0,12,22,8,19,7,Control
34A,2,0,0,7,22,17,21,15,Control
34A,3,0,0,4,10,21,17,18,Control
36A,1,0,0,15,19,20,21,21,Control
36A,2,0,0,6,29,17,16,22,Control
36A,3,0,2,17,20,16,13,18,Control
41A,1,0,0,25,31,27,23,18,Control
41A,2,0,0,11,23,45,20,17,Control
41A,3,0,0,6,15,44,21,19,Control
42A,1,0,0,18,14,18,31,33,Control
42A,2,0,1,19,15,27,17,16,Control
42A,3,0,0,4,14,41,29,19,Control
45A,1,0,0,6,31,27,22,13,Control
45A,2,0,0,3,33,26,15,11,Control
45A,3,0,0,6,34,19,24,11,Control
46A,1,0,0,5,32,15,31,16,Control
46A,2,0,0,5,15,16,27,24,Control
46A,3,0,0,1,25,24,20,13,Control
2A,1,0,0,2,24,19,37,28,Rotenone
2A,2,0,0,4,21,23,30,35,Rotenone
2A,3,0,0,2,16,30,27,32,Rotenone
4A,1,0,0,3,6,11,23,30,Rotenone
4A,2,0,0,3,12,14,22,18,Rotenone
4A,3,0,0,0,9,17,26,20,Rotenone
7A,1,0,0,2,27,19,19,19,Rotenone
7A,2,0,0,0,26,22,28,21,Rotenone
7A,3,0,0,2,8,24,19,24,Rotenone
11A,1,0,0,7,28,12,10,11,Rotenone
11A,2,0,0,5,13,14,6,12,Rotenone
11A,3,0,1,5,27,8,6,10,Rotenone
13A,1,0,0,5,11,12,21,18,Rotenone
13A,2,0,0,2,14,14,37,24,Rotenone
13A,3,0,0,2,10,13,37,17,Rotenone
16A,1,0,0,0,3,11,26,39,Rotenone
16A,2,0,0,1,4,9,31,17,Rotenone
16A,3,0,0,0,2,10,17,31,Rotenone
19A,1,0,0,1,12,19,26,18,Rotenone
19A,2,0,0,1,12,14,18,26,Rotenone
19A,3,0,0,3,10,15,31,26,Rotenone
24A,1,0,0,3,21,17,21,22,Rotenone
24A,2,0,0,5,17,18,26,20,Rotenone
24A,3,0,0,2,15,16,32,15,Rotenone
26A,1,0,0,1,10,18,21,17,Rotenone
26A,2,0,0,3,42,37,12,11,Rotenone
26A,3,0,0,1,16,22,19,20,Rotenone
29A,1,0,0,0,11,9,21,21,Rotenone
29A,2,0,0,1,9,7,17,18,Rotenone
29A,3,0,0,0,11,10,19,17,Rotenone
34A,1,0,0,0,8,8,37,14,Rotenone
34A,2,0,0,0,16,17,11,10,Rotenone
34A,3,0,0,0,16,17,11,19,Rotenone
36A,1,0,0,5,29,10,25,26,Rotenone
36A,2,0,0,0,16,29,21,13,Rotenone
36A,3,0,0,2,22,21,18,9,Rotenone
41A,1,0,0,5,19,22,27,33,Rotenone
41A,2,0,0,1,15,26,33,31,Rotenone
41A,3,0,0,6,19,26,27,27,Rotenone
42A,1,0,0,0,8,24,26,10,Rotenone
42A,2,0,0,0,5,26,22,10,Rotenone
42A,3,0,0,0,5,6,20,9,Rotenone
45A,1,0,0,0,5,22,19,12,Rotenone
45A,2,0,0,0,14,9,20,17,Rotenone
45A,3,0,0,0,13,19,23,10,Rotenone
46A,1,0,0,0,7,19,17,29,Rotenone
46A,2,0,0,1,10,15,34,29,Rotenone
46A,3,0,0,0,7,6,30,41,Rotenone